(19, -2)
(14, -10)
(-2, -17)
(-14, -8)
(22, -24)
(14, -6)
(9, -14)
(9, -14)
(9, -14)
(9, -14)
(3, -17)
(1, -17)
(1, -17)
(-3, -15)
(-5, -14)
(-9, -13)
(-13, -12)
(-13, -12)
(12, -16)
(17, -14)
(19, -10)
(21, -2)
(22, 1)
(12, -12)
(6, -12)
(-2, -12)
(-9, -12)
(-13, -11)
(1, 14)
(-2, 14)
(-9, 11)
(-14, 7)
(-17, 2)
(-18, -3)
(-18, -8)
(-15, -13)
(-9, -18)
(-2, -19)
(4, -19)
(10, -16)
(17, -10)
(19, -4)
(18, 3)
(18, 14)
(17, 16)
(10, -10)
(11, -9)
(13, -4)
(16, 3)
(16, 9)
(16, 11)
(16, -1)
(16, -8)
(13, -13)
(10, -13)
(10, -13)
(5, -18)
(3, -20)
(4, -20)
(4, -20)
(10, -11)
(12, -13)
(13, -13)
(15, -9)
(15, -4)
(16, 0)
(17, 1)
(17, 2)
